Company;Valuation ($B);Date Joined;Country;City;Industry;Investors
OpenAI;US$ 500,00;7/22/19;United States;San Francisco;Enterprise Tech;Khosla Ventures, Thrive Capital, Sequoia Capital
SpaceX;US$ 400,00;12/1/12;United States;Hawthorne;Industrials;Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures
ByteDance;US$ 300,00;4/7/17;China;Beijing;Media & Entertainment;Sequoia Capital China, SIG Asia Investments, Sina Weibo, SoftBank Group
Anthropic;US$ 183,00;2/3/23;United States;San Francisco;Enterprise Tech;Google
Databricks;US$ 100,00;2/5/19;United States;San Francisco;Enterprise Tech;Andreessen Horowitz, New Enterprise Associates, Battery Ventures
Revolut;US$ 75,00;4/26/18;United Kingdom;London;Financial Services;Index Ventures, DST Global, Ribbit Capital
Stripe;US$ 70,00;1/23/14;United States;San Francisco;Financial Services;Khosla Ventures, LowercaseCapital, capitalG
SHEIN;US$ 66,00;7/3/18;Singapore;;Consumer & Retail;Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners
xAI;US$ 50,00;5/26/24;United States;Burlingame;Enterprise Tech;Sequoia Capital, Andreessen Horowitz, VY Capital
Figure;US$ 39,00;2/23/24;United States;Sunnyvale;Industrials;Intel Capital, Parkway VC, Amazon Industrial Innovation Fund
Canva;US$ 32,00;1/8/18;Australia;Surry Hills;Enterprise Tech;Sequoia Capital China, Blackbird Ventures, Matrix Partners
Fanatics;US$ 31,00;6/6/12;United States;Jacksonville;Consumer & Retail;SoftBank Group, Andreessen Horowitz, Temasek Holdings
Safe Superintelligence;US$ 30,00;9/4/24;United States;San Francisco;Enterprise Tech;Sequoia Capital, DST Global, Andreessen Horowitz
Epic Games;US$ 22,50;10/26/18;United States;Cary;Media & Entertainment;Tencent Holdings, KKR, Smash Ventures
Chime;US$ 25,00;3/5/19;United States;San Francisco;Financial Services;Forerunner Ventures, Crosslink Capital, Homebrew
Ramp;US$ 22,50;3/29/21;United States;New York;Enterprise Tech;D1 Capital Partners, Stripe, Coatue Management
Perplexity;US$ 20,00;4/23/24;United States;San Francisco;Enterprise Tech;New Enterprise Associates, Institutional Venture Partners, NVentures
Miro;US$ 17,50;1/5/22;United States;San Francisco;Enterprise Tech;Accel, AltaIR Capital, Technology Crossover Ventures
Xiaohongshu;US$ 17,00;3/31/16;China;Shanghai;Media & Entertainment;GGV Capital, ZhenFund, Tencent
Rippling;US$ 16,80;8/4/20;United States;San Francisco;Enterprise Tech;Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers
Yuanfudao;US$ 15,50;5/31/17;China;Beijing;Consumer & Retail;Tencent Holdings, Warbug Pincus, IDG Capital
DJI Innovations;US$ 15,00;1/23/15;China;Shenzhen;Industrials;Accel Partners, Sequoia Capital
Discord;US$ 15,00;4/20/18;United States;San Francisco;Media & Entertainment;Benchmark, Greylock Partners, Tencent Holdings
Gopuff;US$ 15,00;10/8/20;United States;Philadelphia;Consumer & Retail;Accel, SoftBank Group, Anthos Capital
Yuanqi Senlin;US$ 15,00;3/1/20;China;Beijing;Consumer & Retail;Sequoia Capital China, Longfor Capitalm, Gaorong Capital
Ripple;US$ 15,00;12/20/19;United States;San Francisco;Financial Services;IDG Capital, Venture51, Lightspeed Venture Partners
Anduril;US$ 14,00;9/11/19;United States;Irvine;Industrials;Andreessen Horowitz, Founders Fund, Revolution Ventures
Scale;US$ 13,80;8/5/19;United States;San Francisco;Enterprise Tech;Accel, Y Combinator, Index Ventures
OpenSea;US$ 13,30;7/20/21;United States;New York;Media & Entertainment;Andreessen Horowitz, Thirty Five Ventures, Sound Ventures
Mistral AI;US$ 13,25;12/10/23;France;Paris;Enterprise Tech;Lightspeed Venture Partners, General Catalyst, Andreessen Horowitz
Celonis;US$ 13,00;6/26/18;Germany;Munich;Enterprise Tech;Accel, 83North
Grammarly;US$ 13,00;10/10/19;United States;San Francisco;Media & Entertainment;General Catalyst, Institutional Venture Partners, Breyer Capital
Devoted Health;US$ 12,90;10/16/18;United States;Waltham;Healthcare & Life Sciences;Andreessen Horowitz, F-Prime Capital, Venrock
Faire;US$ 12,59;10/30/19;United States;San Francisco;Consumer & Retail;Khosla Ventures, Forerunner Ventures, Sequoia Capital
Labs;US$ 12,50;4/18/25;United States;Beverly Hills;Enterprise Tech;JET Venture Capital, Sivad VC
Brex;US$ 12,30;10/5/18;United States;San Francisco;Enterprise Tech;DST Global, Ribbit Capital, Greenoaks Capital Management
JUUL Labs;US$ 12,00;12/20/17;United States;San Francisco;Consumer & Retail;Tiger Global Management
Bitmain Technologies;US$ 12,00;7/6/18;China;Beijing;Enterprise Tech;Coatue Management, Sequoia Capital China, IDG Capital
GoodLeap;US$ 12,00;10/13/21;United States;Roseville;Financial Services;New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management
Xingsheng Selected;US$ 12,00;7/22/20;China;Changsha;Consumer & Retail;KKR, Tencent Holdings, Sequoia Capital China
Deel;US$ 12,60;4/21/21;United States;San Francisco;Enterprise Tech;Andreessen Horowitz, Spark Capital, Y Combinator
Airtable;US$ 11,70;11/15/18;United States;San Francisco;Enterprise Tech;Caffeinated Capital, CRV, Founder Collective
ZongMu Technology;US$ 11,40;6/3/21;China;Shanghai;Industrials;LTW Capital, Legend Capital, Qualcomm Ventures
Global Switch;US$ 11,10;12/22/16;United Kingdom;London;Enterprise Tech;Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group
Checkout.com;US$ 11,00;5/2/19;United Kingdom;London;Financial Services;Tiger Global Management, Insight Partners, DST Global
Bolt;US$ 11,00;10/8/21;United States;San Francisco;Financial Services;Activant Capital, Tribe Capital, General Atlantic
Sierra;US$ 10,00;10/28/24;United States;San Francisco;Enterprise Tech;Benchmark, Sequoia Capital, Greenoaks
Alchemy;US$ 10,20;10/28/21;United States;San Francisco;Enterprise Tech;DFJ Growth Fund, Coatue Management, Addition
Bilt Rewards;US$ 10,75;10/25/22;United States;New York;Financial Services;Camber Creek, Kairos HQ, Fifth Wall Ventures
Colossal;US$ 10,20;1/31/23;United States;Austin;Healthcare & Life Sciences;Animal Capital, Breyer Capital, In-Q-Tel
Huolala;US$ 10,00;2/21/19;China;Guangzhou;Industrials;MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital
Thinking Machines Lab;US$ 10,00;6/20/25;United States;San Francisco;Enterprise Tech;Andreessen Horowitz, Accel
Gusto;US$ 10,00;12/18/15;United States;San Francisco;Financial Services;General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers
Chehaoduo;US$ 10,00;3/12/16;China;Beijing;Consumer & Retail;Sequoia Capital China, GX Capital
Talkdesk;US$ 10,00;10/3/18;United States;San Francisco;Enterprise Tech;DJF, Salesforce Ventures, Storm Ventures
Notion;US$ 10,00;4/1/20;United States;San Francisco;Enterprise Tech;Index Ventures, Draft Ventures, Felicis Ventures
Digital Currency Group;US$ 10,00;11/1/21;United States;New York;Financial Services;Ribbit Capital, capitalG, Softbank Group
KuCoin;US$ 10,00;5/10/22;Seychelles;Victoria;Financial Services;IDG Capital, Matrix Partners China, Jump Crypto
Cognition AI;US$ 9,80;4/24/24;United States;San Francisco;Enterprise Tech;Founders Fund, Khosla Ventures
HEYTEA;US$ 9,28;7/1/19;China;Shenzhen;Consumer & Retail;Sequoia Capital China, Tencent Investment, BA Capital
N26;US$ 9,23;1/10/19;Germany;Berlin;Financial Services;Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures
Navan;US$ 9,20;11/8/18;United States;Palo Alto;Enterprise Tech;Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures
VAST Data;US$ 9,10;4/16/20;United States;New York;Enterprise Tech;Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital
Anysphere;US$ 9,00;12/20/24;United States;San Francisco;Enterprise Tech;Andreessen Horowitz, Thrive Capital, OpenAI Startup Fund
Tanium;US$ 9,00;3/31/15;United States;Kirkland;Enterprise Tech;Andreessen Horowitz, Nor-Cal Invest, TPG Growth
Niantic;US$ 9,00;11/24/17;United States;San Francisco;Media & Entertainment;Nintendo, Google, Pokemon Company International, Spark Capital
OYO Rooms;US$ 9,00;9/25/18;India;Gurugram;Consumer & Retail;SoftBank Group, Sequoia Capital India, Lightspeed India Partners
Rapyd;US$ 8,75;12/3/19;United Kingdom;London;Financial Services;Target Global, General Catalyst, Durable Capital Partners
Chainalysis;US$ 8,60;11/23/20;United States;New York;Financial Services;Addition, Benhcmark, Accel
Personio;US$ 8,50;1/19/21;Germany;Munich;Enterprise Tech;Global Founders Capital, Nortzone Ventures, Picus Capital
SumUp;US$ 8,50;7/16/19;United Kingdom;London;Financial Services;American Express Ventures, Goldman Sachs, Bain Capital Credit
Bolt;US$ 8,40;5/29/18;Estonia;Tallinn;Industrials;Didi Chuxing, Diamler, TMT Investments
Tipalti;US$ 8,30;10/6/20;United States;San Mateo;Enterprise Tech;01 Advisors, Zeev Ventures, Group 11
Dream11;US$ 8,00;4/9/19;India;Mumbai;Media & Entertainment;Kaalari Capital, Tencent Holdings, Steadview Capital
Fireblocks;US$ 8,00;7/27/21;United States;New York;Financial Services;Tenaya Capital, Coatue Management, Stripes Group
Flexport;US$ 8,00;4/30/18;United States;San Francisco;Industrials;Bloomberg Beta, Founders Fund, First Round Capital
FalconX;US$ 8,00;8/10/21;United States;San Mateo;Financial Services;Tiger Global Management, American Express Ventures, B Capital Group
Caris;US$ 7,83;5/12/21;United States;Irving;Healthcare & Life Sciences;Sixth Street Partners, OrbiMed Advisors, Highland Capital Management
Dapper Labs;US$ 7,60;3/30/21;Canada;Vancouver;Media & Entertainment;Union Square Ventures, Venrock, Andreessen Horowitz
Netskope;US$ 7,50;11/13/18;United States;Santa Clara;Enterprise Tech;Lightspeed Venture Partners, Social Capital, Accel
Flock Safety;US$ 7,50;7/13/21;United States;Atlanta;Consumer & Retail;Matrix Partners, Initialized Capital, Tiger Global Management
Razorpay;US$ 7,50;10/11/20;India;Bengaluru;Financial Services;Sequoia Capital India, Tiger Global Management, Matrix Partners India
Automattic;US$ 7,50;5/27/13;United States;San Francisco;Media & Entertainment;Insight Venture Partners, Lowercase Capital, Polaris Partners
Carta;US$ 7,40;5/6/19;United States;San Francisco;Financial Services;Menlo Ventures, Spark Capital, Union Square Ventures
Snyk;US$ 7,40;1/21/20;United States;Boston;Enterprise Tech;BOLDstart Ventures, Google Ventures, Accel
Gong;US$ 7,25;8/12/20;United States;Palo Alto;Enterprise Tech;Norwest Venture Partners, Next World Capital, Wing Venture Capital
Blockchain.com;US$ 7,00;2/17/21;United Kingdom;London;Financial Services;Lightspeed Venture Partners, Google Ventures, Lakestar
Toss;US$ 7,00;12/9/18;South Korea;Seoul;Financial Services;Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers
Wonder;US$ 7,00;5/6/21;United States;New York;Consumer & Retail;Accel, Forerunner Ventures
We Doctor;US$ 7,00;9/22/15;China;Hangzhou;Healthcare & Life Sciences;Tencent, Morningside Group
Ro;US$ 7,00;7/27/20;United States;New York;Healthcare & Life Sciences;Initialized Capital, General Catalyst, SignalFire
ConsenSys;US$ 7,00;11/17/21;United States;New York;Enterprise Tech;Third Point, Electric Capital, Coinbase Ventures
Groq;US$ 6,90;4/14/21;United States;Mountain View;Enterprise Tech;TDK Ventures, Social Capital, D1 Capital Partners
Automation Anywhere;US$ 6,80;7/2/18;United States;San Jose;Enterprise Tech;General Atlantic, Goldman Sachs, New Enterprise Associates
1Password;US$ 6,80;7/8/21;Canada;Toronto;Enterprise Tech;Slack Fund, Accel, Skip Capital
PsiQuantum;US$ 7,00;7/27/21;United States;Palo Alto;Enterprise Tech;Playground Global, M12, BlackRock
Ziroom;US$ 6,60;1/17/18;China;Beijing;Consumer & Retail;Sequoia Capital China, Warburg Pincus, General Catalyst
ElevenLabs;US$ 6,60;1/22/24;United States;New York;Enterprise Tech;Andreessen Horowitz, Credo Ventures, Sequoia Capital
SVOLT;US$ 6,51;6/8/20;China;Changzhou;Industrials;IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management
National Stock Exchange of India;US$ 6,50;7/1/20;India;Mumbai;Financial Services;TA Associates, SoftBank Group, GS Growth
Mollie;US$ 6,50;9/8/20;Netherlands;Amsterdam;Financial Services;Technology Crossover Ventures
Doctolib;US$ 6,40;3/19/19;France;Paris;Healthcare & Life Sciences;BPI France, Kerala Ventures, Accel
CRED;US$ 6,40;4/6/21;India;Bengaluru;Financial Services;Tiger Global Management, DST Global, Sequoia Capital India
Snorkel AI;US$ 6,35;8/9/21;United States;Palo Alto;Enterprise Tech;Greylock Partners, Google Ventures, BlackRock
DataRobot;US$ 6,30;7/29/19;United States;Boston;Enterprise Tech;New Enterprise Associates, Accomplice, IA Ventures
Upgrade;US$ 6,28;2/12/18;United States;San Francisco;Financial Services;Union Square Ventures, Ribbit Capital, VY Capital
Black Unicorn Factory;US$ 6,10;5/20/21;United States;Los Angeles;Enterprise Tech;Barter Ventures
Plaid;US$ 6,10;12/11/18;United States;San Francisco;Financial Services;New Enterprise Associates, Spar Capital, Index Ventures
Benchling;US$ 6,10;4/14/21;United States;San Francisco;Healthcare & Life Sciences;Thrive Capital, Benchmark, MenloVentures
Grafana Labs;US$ 6,00;3/25/21;United States;New York;Enterprise Tech;Lightspeed Venture Partners, Lead Edge Capital, Coatue Management
Cyera;US$ 6,00;4/9/24;United States;New York;Enterprise Tech;Accel, CyberStarts, Sequoia Capital
Applied Intuition;US$ 6,00;10/22/20;United States;Sunnyvale;Industrials;Andreessen Horowitz, Lux Capital, General Catalyst
Commure;US$ 6,00;9/16/21;United States;San Francisco;Healthcare & Life Sciences;General Catalyst, HCA Healthcare
Nuro;US$ 6,00;2/11/19;United States;Mountain View;Industrials;SoftBank Group, Greylock Partners, Gaorong Capital
iCapital;US$ 7,50;7/27/21;United States;New York;Financial Services;BlackRock, Blackstone, UBS
6Sense;US$ 5,20;3/30/21;United States;San Francisco;Enterprise Tech;Venrock, Battery Ventures, Insight Partners
Attentive;US$ 5,99;9/23/20;United States;Hoboken;Enterprise Tech;NextView Ventures, Eniac Ventures, Sequoia Capital
Easyhome;US$ 5,78;2/12/18;China;Beijing;Consumer & Retail;Alibaba Group, Boyu Capital, Borui Capital
Lianjia;US$ 5,77;4/7/16;China;Beijing;Financial Services;Tencent, Baidu, Huasheng Capital
Workato;US$ 5,70;1/12/21;United States;Mountain View;Enterprise Tech;Battery Ventures, Storm Ventures, Redpoint Ventures
Reflection AI;US$ 5,50;10/13/21;United States;New York;Enterprise Tech;Carolina Research Ventures, Sequoia Capital, 1789 Capital
Vuori;US$ 5,50;10/13/21;United States;Carlsbad;Consumer & Retail;SoftBank Group, Norwest Venture Partners
Back Market;US$ 5,70;5/18/21;France;Paris;Consumer & Retail;Aglae Ventures, Eurazeo, Daphni
RELEX;US$ 5,70;2/17/22;Finland;Helsinki;Consumer & Retail;Blackstone, Technology Crossover Ventures, Summit Partners
The Boring Company;US$ 5,70;4/20/22;United States;Pflugerville;Industrials;VY Capital, 8VC, Craft Ventures
Postman;US$ 5,60;6/11/20;United States;San Francisco;Enterprise Tech;Nexus Venture Partners, CRV, Insight Partners
FiveTran;US$ 5,60;6/30/20;United States;Oakland;Enterprise Tech;Matrix Partners, Andreessen Horowitz, General Catalyst
ContentSquare;US$ 5,60;5/25/21;France;Paris;Enterprise Tech;Highland Europe, Eurazeo, Canaan Partners
Helsing;US$ 5,37;9/14/23;Germany;Munchen;Enterprise Tech;
Trade Republic;US$ 5,36;5/20/21;Germany;Berlin;Financial Services;Founders Fund. Accel, Creandum
Odoo;US$ 5,30;7/29/21;Belgium;Louvain-la-Neuve;Enterprise Tech;Summit Partners, Noshaq, Sofinnova Partners
Shield AI;US$ 5,30;8/24/21;United States;San Diego;Industrials;Andreessen Horowitz, Homebrew, Point72 Ventures
